epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.14693,2.12593,4.77158,1.63443,0,0,0,0,1.78229,4.42167,1.35895,2e-05,2e-05,2e-05
2,2.15125,2.03206,4.73282,1.56307,0,0,0,0,1.65617,4.3529,1.26525,4.4595e-05,4.4595e-05,4.4595e-05
3,3.20524,1.78907,4.50352,1.37638,0,0,0,0,1.68802,4.25651,1.23354,6.874e-05,6.874e-05,6.874e-05
4,4.21687,1.73734,4.25191,1.30697,0.05556,0.01136,0.03156,0.02797,1.74524,4.18917,1.22999,9.2435e-05,9.2435e-05,9.2435e-05
5,5.27695,1.68914,3.99633,1.26212,0.04855,0.14294,0.09035,0.05532,1.65169,4.10099,1.1917,0.00011568,0.00011568,0.00011568
6,6.32545,1.67343,3.74953,1.24669,0.02677,0.16311,0.09916,0.06076,1.5419,4.02505,1.1628,0.000138475,0.000138475,0.000138475
7,7.35843,1.68866,3.38051,1.23627,0.04591,0.23407,0.11692,0.06993,1.58566,3.90005,1.19256,0.00016082,0.00016082,0.00016082
8,8.3822,1.71454,3.08694,1.25638,0.03328,0.30092,0.1252,0.0721,1.59731,3.75108,1.19463,0.000182715,0.000182715,0.000182715
9,9.41984,1.72814,2.88739,1.27035,1,0.05349,0.1441,0.08444,1.62248,3.63755,1.21735,0.00020416,0.00020416,0.00020416
10,10.4602,1.65509,2.61172,1.20781,0.99913,0.07237,0.14345,0.08198,1.57563,3.64805,1.21819,0.000225155,0.000225155,0.000225155
11,11.4686,1.66307,2.54612,1.21698,1,0.07344,0.14828,0.07825,1.57379,3.52981,1.21463,0.0002457,0.0002457,0.0002457
12,12.5024,1.66714,2.47662,1.24176,0.87467,0.10506,0.15939,0.08958,1.6285,3.2989,1.20994,0.000265795,0.000265795,0.000265795
13,13.4902,1.58195,2.2445,1.19214,0.87392,0.12663,0.15747,0.08813,1.67422,3.27095,1.23448,0.00028544,0.00028544,0.00028544
14,14.5026,1.5624,2.13823,1.19106,0.87819,0.14877,0.22875,0.11604,1.62469,3.19798,1.24781,0.000304635,0.000304635,0.000304635
15,15.5872,1.52429,2.10619,1.19345,0.87197,0.14562,0.26966,0.13624,1.61133,3.04345,1.2535,0.00032338,0.00032338,0.00032338
16,16.627,1.51836,1.89649,1.22178,0.8787,0.1491,0.28492,0.14296,1.60705,2.955,1.24855,0.000341675,0.000341675,0.000341675
17,17.6592,1.50282,1.94296,1.1845,0.85791,0.18108,0.27856,0.14154,1.61632,2.67984,1.24882,0.00035952,0.00035952,0.00035952
18,18.666,1.53252,1.93114,1.17837,0.85446,0.24018,0.28653,0.15129,1.56585,2.50072,1.22691,0.000376915,0.000376915,0.000376915
19,19.6376,1.52028,1.89813,1.17603,0.85054,0.24571,0.31653,0.16116,1.54479,2.39754,1.21655,0.00039386,0.00039386,0.00039386
20,20.657,1.44597,1.78906,1.15851,0.75675,0.29895,0.33247,0.18666,1.50529,2.19963,1.22352,0.000410355,0.000410355,0.000410355
21,21.6438,1.44394,1.8054,1.13842,0.77413,0.29059,0.33035,0.18677,1.48061,2.11459,1.22348,0.00041,0.00041,0.00041
22,22.6745,1.42813,1.72573,1.15329,0.75498,0.29007,0.33248,0.18476,1.48854,2.02601,1.22663,0.0004055,0.0004055,0.0004055
23,23.6523,1.42977,1.7677,1.16465,0.71171,0.2983,0.32833,0.18989,1.50841,1.94688,1.23142,0.000401,0.000401,0.000401
24,24.6612,1.43539,1.67031,1.15256,0.70034,0.32146,0.3422,0.19817,1.50628,1.838,1.23839,0.0003965,0.0003965,0.0003965
25,25.6513,1.41697,1.6289,1.14598,0.70842,0.34109,0.34559,0.2025,1.49254,1.78771,1.23498,0.000392,0.000392,0.000392
